round,client,confidence_mean,need_mean,source_file,slot_0,slot_1,slot_2,slot_3
450,0,0.375665,0.624335,client0.log,0.4997,0.3116,0.4197,0.2717
450,1,0.371377,0.628623,client1.log,0.4323,0.4049,0.3666,0.2817
450,2,0.378291,0.621709,client2.log,0.2668,0.5036,0.3192,0.4236
450,3,0.377815,0.622185,client3.log,0.3509,0.5421,0.3115,0.3067
450,4,0.369511,0.630489,client4.log,0.4601,0.316,0.3602,0.3417
500,0,0.366278,0.633722,client0.log,0.3984,0.3339,0.4085,0.3243
500,1,0.369303,0.630697,client1.log,0.4275,0.3872,0.3074,0.3552
500,2,0.37653,0.62347,client2.log,0.3167,0.4826,0.2775,0.4294
500,3,0.368247,0.631753,client3.log,0.3489,0.3928,0.3348,0.3964
500,4,0.372433,0.627567,client4.log,0.3106,0.4358,0.3071,0.4363
550,0,0.362724,0.637276,client0.log,0.3582,0.363,0.3493,0.3805
550,1,0.367182,0.632818,client1.log,0.3515,0.3675,0.3981,0.3517
550,2,0.379457,0.620543,client2.log,0.4956,0.3008,0.4504,0.2709
550,3,0.371515,0.628485,client3.log,0.3647,0.4276,0.2876,0.4062
550,4,0.367612,0.632388,client4.log,0.3512,0.4019,0.3376,0.3797
600,0,0.367242,0.632758,client0.log,0.3872,0.3187,0.411,0.352
600,1,0.371548,0.628452,client1.log,0.3623,0.4375,0.2842,0.4021
600,2,0.376716,0.623284,client2.log,0.4867,0.3077,0.4291,0.2833
600,3,0.369964,0.630036,client3.log,0.366,0.3492,0.442,0.3226
600,4,0.371511,0.628489,client4.log,0.4106,0.4497,0.3122,0.3136
650,0,0.36355,0.63645,client0.log,0.3692,0.3726,0.3519,0.3606
650,1,0.38059,0.61941,client1.log,0.4844,0.2704,0.4799,0.2876
650,2,0.379069,0.620931,client2.log,0.3346,0.4456,0.2522,0.4839
650,3,0.368945,0.631055,client3.log,0.3309,0.4079,0.3427,0.3943
650,4,0.369956,0.630044,client4.log,0.3623,0.4489,0.3314,0.3373
700,0,0.366225,0.633775,client0.log,0.3376,0.3955,0.3273,0.4045
700,1,0.368196,0.631804,client1.log,0.4235,0.3443,0.3709,0.334
700,2,0.368976,0.631024,client2.log,0.4185,0.3417,0.391,0.3247
700,3,0.368384,0.631616,client3.log,0.3443,0.3634,0.4141,0.3517
700,4,0.366833,0.633167,client4.log,0.365,0.3671,0.3729,0.3623
750,0,0.374298,0.625702,client0.log,0.2925,0.4527,0.2948,0.4572
750,1,0.367822,0.632178,client1.log,0.3613,0.3376,0.3967,0.3757
750,2,0.368255,0.631745,client2.log,0.3884,0.353,0.4016,0.33
750,3,0.379162,0.620838,client3.log,0.4809,0.2795,0.4658,0.2904
750,4,0.368213,0.631787,client4.log,0.3667,0.3214,0.3968,0.388
800,0,0.366273,0.633727,client0.log,0.3765,0.3464,0.3826,0.3596
800,1,0.372578,0.627422,client1.log,0.4457,0.3138,0.4263,0.3044
800,2,0.368547,0.631453,client2.log,0.34,0.4008,0.3294,0.404
800,3,0.367774,0.632226,client3.log,0.3869,0.3581,0.3836,0.3425
800,4,0.4104,0.5896,client4.log,0.5931,0.2251,0.5955,0.2279
850,0,0.366304,0.633696,client0.log,0.3366,0.3891,0.3427,0.3968
850,1,0.371277,0.628723,client1.log,0.4119,0.3015,0.4435,0.3283
850,2,0.367976,0.632024,client2.log,0.3923,0.3412,0.3909,0.3475
850,3,0.375658,0.624342,client3.log,0.2934,0.4604,0.3011,0.4478
850,4,0.367111,0.632889,client4.log,0.3685,0.3497,0.3805,0.3697
900,0,0.370392,0.629608,client0.log,0.3179,0.4218,0.3118,0.4301
900,1,0.367613,0.632387,client1.log,0.3347,0.3868,0.3533,0.3957
900,2,0.375393,0.624607,client2.log,0.4521,0.3002,0.4524,0.2969
900,3,0.375623,0.624377,client3.log,0.4664,0.3065,0.439,0.2906
900,4,0.369261,0.630739,client4.log,0.327,0.4217,0.3291,0.3993
950,0,0.366382,0.633618,client0.log,0.358,0.3754,0.3591,0.373
950,1,0.367819,0.632181,client1.log,0.3569,0.3891,0.336,0.3893
950,2,0.366936,0.633064,client2.log,0.3688,0.3622,0.3703,0.3665
950,3,0.367787,0.632213,client3.log,0.3943,0.3577,0.3588,0.3603
950,4,0.367347,0.632653,client4.log,0.3858,0.35,0.3749,0.3587
1000,0,0.387617,0.612383,client0.log,0.262,0.5083,0.2612,0.519
1000,1,0.368892,0.631108,client1.log,0.4122,0.3268,0.404,0.3326
1000,2,0.370129,0.629871,client2.log,0.325,0.4103,0.3283,0.417
1000,3,0.370338,0.629662,client3.log,0.3216,0.415,0.3212,0.4235
1000,4,0.373657,0.626343,client4.log,0.3128,0.4549,0.2961,0.4308
1050,0,0.371266,0.628734,client0.log,0.3204,0.4281,0.3068,0.4298
1050,1,0.37625,0.62375,client1.log,0.2768,0.4636,0.3111,0.4536
1050,2,0.3674,0.6326,client2.log,0.373,0.3665,0.3676,0.3624
1050,3,0.373151,0.626849,client3.log,0.3026,0.4251,0.3153,0.4497
1050,4,0.372543,0.627457,client4.log,0.3,0.4457,0.3185,0.4259
1100,0,0.365997,0.634003,client0.log,0.3487,0.3787,0.3506,0.386
1100,1,0.372251,0.627749,client1.log,0.3923,0.4586,0.2896,0.3485
1100,2,0.368082,0.631918,client2.log,0.3349,0.3951,0.3421,0.4002
1100,3,0.368978,0.631022,client3.log,0.4005,0.34,0.4047,0.3307
1100,4,0.367313,0.632687,client4.log,0.3773,0.3518,0.3731,0.367
1150,0,0.371399,0.628601,client0.log,0.4304,0.3143,0.4291,0.3117
1150,1,0.370847,0.629153,client1.log,0.4388,0.3409,0.4041,0.2996
1150,2,0.374538,0.625462,client2.log,0.2995,0.4473,0.3031,0.4484
1150,3,0.374106,0.625893,client3.log,0.4422,0.3081,0.447,0.2991
1150,4,0.373411,0.626589,client4.log,0.4475,0.3135,0.4339,0.2987
1200,0,0.366113,0.633887,client0.log,0.3557,0.3754,0.3538,0.3795
1200,1,0.374544,0.625456,client1.log,0.4774,0.3788,0.3699,0.2721
1200,2,0.368371,0.631629,client2.log,0.3389,0.3965,0.346,0.392
1200,3,0.367767,0.632233,client3.log,0.3788,0.3736,0.3735,0.3452
1200,4,0.36641,0.63359,client4.log,0.3573,0.3797,0.3538,0.3749
1250,0,0.381702,0.618298,client0.log,0.2706,0.4881,0.2763,0.4918
1250,1,0.367318,0.632682,client1.log,0.3635,0.3838,0.3462,0.3758
1250,2,0.368749,0.631251,client2.log,0.3985,0.338,0.4004,0.3381
1250,3,0.379745,0.620255,client3.log,0.287,0.477,0.2818,0.4733
1250,4,0.367281,0.632719,client4.log,0.365,0.38,0.354,0.3702
1300,0,0.368082,0.631918,client0.log,0.4067,0.3253,0.4093,0.331
1300,1,0.37463,0.62537,client1.log,0.4506,0.3015,0.4486,0.2977
1300,2,0.368234,0.631766,client2.log,0.3922,0.3487,0.3894,0.3427
1300,3,0.367438,0.632562,client3.log,0.365,0.3779,0.3605,0.3663
1300,4,0.368566,0.631434,client4.log,0.3988,0.359,0.398,0.3185
1350,0,0.384888,0.615112,client0.log,0.5126,0.2708,0.4924,0.2637
1350,1,0.368273,0.631727,client1.log,0.401,0.3338,0.3977,0.3407
1350,2,0.375272,0.624728,client2.log,0.298,0.4447,0.3017,0.4567
1350,3,0.367698,0.632302,client3.log,0.3822,0.3601,0.3723,0.3561
1350,4,0.366892,0.633108,client4.log,0.3782,0.3543,0.3791,0.3559
1400,0,0.368677,0.631323,client0.log,0.3311,0.4093,0.3263,0.408
1400,1,0.367363,0.632637,client1.log,0.3407,0.36,0.3762,0.3926
1400,2,0.368823,0.631177,client2.log,0.3362,0.3997,0.3395,0.3999
1400,3,0.371742,0.628258,client3.log,0.4315,0.3083,0.4239,0.3233
1400,4,0.367457,0.632543,client4.log,0.3632,0.3822,0.3514,0.3731
1450,0,0.370515,0.629485,client0.log,0.4213,0.3194,0.4236,0.3177
1450,1,0.370241,0.629759,client1.log,0.3357,0.4195,0.3095,0.4162
1450,2,0.403226,0.596774,client2.log,0.2418,0.5675,0.2333,0.5703
1450,3,0.369428,0.630572,client3.log,0.4067,0.3274,0.409,0.3346
1450,4,0.39243,0.60757,client4.log,0.5324,0.2588,0.5299,0.2487
1500,0,0.366672,0.633328,client0.log,0.3479,0.3822,0.353,0.3835
1500,1,0.367221,0.632779,client1.log,0.3604,0.3546,0.3847,0.3692
1500,2,0.367637,0.632363,client2.log,0.3645,0.3692,0.37,0.3668
1500,3,0.368789,0.631211,client3.log,0.3983,0.3355,0.3993,0.342
1500,4,0.377528,0.622472,client4.log,0.4739,0.2877,0.4576,0.2909
1550,0,0.368678,0.631322,client0.log,0.3238,0.4099,0.3282,0.4129
1550,1,0.376419,0.623581,client1.log,0.4586,0.2994,0.4594,0.2882
1550,2,0.370656,0.629344,client2.log,0.3269,0.4212,0.3161,0.4184
1550,3,0.368144,0.631856,client3.log,0.3502,0.3897,0.3439,0.3887
1550,4,0.369142,0.630858,client4.log,0.3396,0.4074,0.3244,0.4051
1600,0,0.366045,0.633955,client0.log,0.3518,0.3677,0.3578,0.3868
1600,1,0.369205,0.630795,client1.log,0.4231,0.339,0.3908,0.3239
1600,2,0.367538,0.632462,client2.log,0.3726,0.3597,0.3782,0.3596
1600,3,0.374245,0.625755,client3.log,0.3107,0.4457,0.2968,0.4439
1600,4,0.369326,0.630674,client4.log,0.4109,0.3392,0.4022,0.3251
1650,0,0.367958,0.632042,client0.log,0.3273,0.3935,0.3453,0.4058
1650,1,0.367137,0.632863,client1.log,0.3786,0.3675,0.3697,0.3528
1650,2,0.370251,0.629749,client2.log,0.4205,0.3234,0.4085,0.3287
1650,3,0.368084,0.631916,client3.log,0.3504,0.4017,0.3438,0.3765
1650,4,0.367386,0.632614,client4.log,0.3658,0.3665,0.3645,0.3727
1700,0,0.367218,0.632782,client0.log,0.3776,0.3539,0.3794,0.3579
1700,1,0.374518,0.625482,client1.log,0.3056,0.4531,0.2978,0.4417
1700,2,0.367639,0.632361,client2.log,0.3717,0.3545,0.3785,0.3658
1700,3,0.367637,0.632363,client3.log,0.3616,0.3789,0.3546,0.3754
1700,4,0.368946,0.631054,client4.log,0.4006,0.3369,0.4093,0.3289
1750,0,0.376368,0.623632,client0.log,0.2907,0.4555,0.2969,0.4623
1750,1,0.37638,0.62362,client1.log,0.4711,0.3077,0.4444,0.2823
1750,2,0.381215,0.618786,client2.log,0.2792,0.4859,0.2808,0.4789
1750,3,0.371136,0.628864,client3.log,0.3243,0.424,0.3159,0.4203
1750,4,0.369121,0.630879,client4.log,0.4215,0.3454,0.3854,0.3241
1800,0,0.369296,0.630704,client0.log,0.3156,0.4047,0.3331,0.4238
1800,1,0.36919,0.63081,client1.log,0.4114,0.3184,0.4009,0.346
1800,2,0.369656,0.630344,client2.log,0.4108,0.3335,0.4076,0.3267
1800,3,0.369013,0.630987,client3.log,0.4104,0.3366,0.3923,0.3367
1800,4,0.375701,0.624299,client4.log,0.2995,0.4528,0.2932,0.4573
1850,0,0.366413,0.633586,client0.log,0.3555,0.3723,0.3604,0.3775
1850,1,0.367498,0.632502,client1.log,0.3582,0.3797,0.3603,0.3717
1850,2,0.368905,0.631095,client2.log,0.3991,0.3344,0.4019,0.3402
1850,3,0.368949,0.631051,client3.log,0.3328,0.3996,0.3394,0.404
1850,4,0.375621,0.624379,client4.log,0.2927,0.4433,0.3002,0.4663
1900,0,0.365159,0.634841,client0.log,0.3682,0.3523,0.376,0.3641
1900,1,0.384192,0.615808,client1.log,0.2841,0.5124,0.2601,0.4802
1900,2,0.371162,0.628838,client2.log,0.3187,0.4298,0.3207,0.4155
1900,3,0.371327,0.628673,client3.log,0.4277,0.3171,0.4217,0.3187
1900,4,0.393546,0.606454,client4.log,0.2412,0.5245,0.2637,0.5448
1950,0,0.367543,0.632457,client0.log,0.3557,0.3847,0.3388,0.391
1950,1,0.378988,0.621012,client1.log,0.2881,0.4617,0.2844,0.4818
1950,2,0.367368,0.632632,client2.log,0.3636,0.369,0.3619,0.375
1950,3,0.371676,0.628324,client3.log,0.4398,0.3266,0.4118,0.3086
1950,4,0.385788,0.614212,client4.log,0.504,0.2713,0.5034,0.2644
2000,0,0.367774,0.632226,client0.log,0.3918,0.3417,0.3943,0.3433
2000,1,0.374728,0.625272,client1.log,0.2962,0.4495,0.3054,0.4478
2000,2,0.389048,0.610952,client2.log,0.5165,0.2626,0.5184,0.2586
2000,3,0.370842,0.629158,client3.log,0.3241,0.4226,0.3193,0.4173
2000,4,0.36737,0.63263,client4.log,0.3719,0.3581,0.3718,0.3677
2050,0,0.369152,0.630848,client0.log,0.3223,0.4212,0.3189,0.4142
2050,1,0.367887,0.632113,client1.log,0.3634,0.3896,0.3426,0.3759
2050,2,0.374271,0.625729,client2.log,0.3043,0.4383,0.3041,0.4503
2050,3,0.377276,0.622724,client3.log,0.2993,0.472,0.2853,0.4525
2050,4,0.368148,0.631852,client4.log,0.3905,0.3451,0.3923,0.3446
2100,0,0.367675,0.632325,client0.log,0.3526,0.3777,0.3384,0.402
2100,1,0.373647,0.626353,client1.log,0.3064,0.4366,0.3039,0.4477
2100,2,0.373559,0.626441,client2.log,0.4377,0.3047,0.4419,0.3099
2100,3,0.370014,0.629986,client3.log,0.3351,0.4189,0.3205,0.4055
2100,4,0.370059,0.629941,client4.log,0.329,0.412,0.3201,0.4192
2150,0,0.367108,0.632892,client0.log,0.3546,0.3739,0.3618,0.3781
2150,1,0.367441,0.632559,client1.log,0.3638,0.3593,0.3784,0.3682
2150,2,0.367674,0.632326,client2.log,0.363,0.3724,0.3656,0.3696
2150,3,0.367604,0.632396,client3.log,0.3603,0.3681,0.3654,0.3766
2150,4,0.36922,0.63078,client4.log,0.4117,0.3351,0.3979,0.3322
2200,0,0.366596,0.633404,client0.log,0.3586,0.3496,0.3805,0.3778
2200,1,0.367667,0.632333,client1.log,0.3562,0.3872,0.341,0.3862
2200,2,0.375873,0.624127,client2.log,0.4564,0.298,0.4513,0.2979
2200,3,0.381894,0.618106,client3.log,0.4827,0.2781,0.4889,0.2779
2200,4,0.375203,0.624797,client4.log,0.4551,0.2928,0.4484,0.3044
2250,0,0.374671,0.625329,client0.log,0.4273,0.2942,0.4711,0.3062
2250,1,0.379676,0.620324,client1.log,0.4949,0.2991,0.4544,0.2703
2250,2,0.376484,0.623516,client2.log,0.2924,0.4554,0.2987,0.4595
2250,3,0.36778,0.63222,client3.log,0.3561,0.3845,0.3546,0.376
2250,4,0.367406,0.632594,client4.log,0.3727,0.3656,0.3743,0.3571
2300,0,0.365939,0.634061,client0.log,0.3818,0.3483,0.3791,0.3545
2300,1,0.369593,0.630407,client1.log,0.4031,0.331,0.4152,0.3291
2300,2,0.368229,0.631771,client2.log,0.3477,0.3873,0.3477,0.3902
2300,3,0.368143,0.631857,client3.log,0.3485,0.3915,0.3459,0.3867
2300,4,0.440798,0.559202,client4.log,0.6946,0.2056,0.6737,0.1893
2350,0,0.366842,0.633158,client0.log,0.3553,0.3619,0.3698,0.3803
2350,1,0.383112,0.616888,client1.log,0.4903,0.2847,0.4919,0.2656
2350,2,0.372449,0.627551,client2.log,0.4311,0.312,0.4335,0.3132
2350,3,0.378112,0.621888,client3.log,0.4604,0.2818,0.4723,0.298
2350,4,0.37689,0.62311,client4.log,0.4666,0.3033,0.4555,0.2821
2400,0,0.38249,0.61751,client0.log,0.2654,0.4873,0.2831,0.4941
2400,1,0.369462,0.630538,client1.log,0.3175,0.3597,0.3655,0.4351
2400,2,0.37318,0.62682,client2.log,0.4335,0.3079,0.441,0.3104
2400,3,0.370025,0.629975,client3.log,0.4222,0.351,0.3949,0.312
2400,4,0.367414,0.632586,client4.log,0.3524,0.3857,0.3496,0.3819
2450,0,0.366821,0.633179,client0.log,0.3682,0.3617,0.3737,0.3637
2450,1,0.368413,0.631587,client1.log,0.3518,0.4142,0.333,0.3747
2450,2,0.386471,0.613529,client2.log,0.2667,0.5197,0.2663,0.4932
2450,3,0.368998,0.631002,client3.log,0.4039,0.336,0.3983,0.3378
2450,4,0.375211,0.624789,client4.log,0.2906,0.4275,0.3109,0.4719
2500,0,0.371177,0.628823,client0.log,0.4206,0.3066,0.4312,0.3264
2500,1,0.384161,0.615839,client1.log,0.2772,0.5027,0.2646,0.4922
2500,2,0.368906,0.631094,client2.log,0.3379,0.387,0.3413,0.4094
2500,3,0.36861,0.63139,client3.log,0.342,0.3891,0.3398,0.4035
2500,4,0.369428,0.630572,client4.log,0.3246,0.4047,0.334,0.4144
2550,0,0.380571,0.619429,client0.log,0.2744,0.4748,0.2855,0.4876
2550,1,0.367132,0.632868,client1.log,0.3633,0.3579,0.3832,0.3641
2550,2,0.371677,0.628323,client2.log,0.422,0.3087,0.431,0.325
2550,3,0.373527,0.626473,client3.log,0.3005,0.4434,0.3142,0.436
2550,4,0.368674,0.631326,client4.log,0.4171,0.34,0.3806,0.337
2600,0,0.399129,0.60087,client0.log,0.568,0.2402,0.5446,0.2438
2600,1,0.367696,0.632304,client1.log,0.3872,0.3504,0.3814,0.3518
2600,2,0.36859,0.63141,client2.log,0.3886,0.3366,0.404,0.3451
2600,3,0.371221,0.628779,client3.log,0.4408,0.3339,0.4008,0.3095
2600,4,0.368388,0.631612,client4.log,0.3357,0.395,0.3456,0.3973
2650,0,0.367829,0.632171,client0.log,0.3826,0.3336,0.4044,0.3507
2650,1,0.371675,0.628325,client1.log,0.3081,0.4217,0.3193,0.4376
2650,2,0.367754,0.632246,client2.log,0.3543,0.3699,0.3675,0.3793
2650,3,0.368054,0.631946,client3.log,0.395,0.3746,0.3651,0.3375
2650,4,0.368267,0.631733,client4.log,0.3955,0.3448,0.3946,0.3382
2700,0,0.366935,0.633065,client0.log,0.3641,0.3486,0.3926,0.3625
2700,1,0.367365,0.632635,client1.log,0.3791,0.3458,0.3648,0.3797
2700,2,0.367812,0.632189,client2.log,0.3871,0.363,0.3667,0.3545
2700,3,0.368099,0.631901,client3.log,0.344,0.3766,0.3554,0.3965
2700,4,0.368321,0.631679,client4.log,0.3978,0.3565,0.3869,0.3321
2750,0,0.371188,0.628812,client0.log,0.4075,0.3053,0.4443,0.3277
2750,1,0.369367,0.630633,client1.log,0.3991,0.3148,0.4158,0.3478
2750,2,0.368222,0.631778,client2.log,0.3524,0.4017,0.3408,0.378
2750,3,0.375946,0.624054,client3.log,0.3099,0.4681,0.2865,0.4393
2750,4,0.366605,0.633395,client4.log,0.3652,0.3866,0.3445,0.3702
2800,0,0.36827,0.63173,client0.log,0.3829,0.3309,0.4067,0.3527
2800,1,0.373836,0.626164,client1.log,0.314,0.4216,0.2956,0.4641
2800,2,0.367522,0.632478,client2.log,0.3658,0.3819,0.356,0.3664
2800,3,0.36935,0.63065,client3.log,0.4122,0.3893,0.3589,0.3169
2800,4,0.371852,0.628148,client4.log,0.298,0.3855,0.3426,0.4614
2850,0,0.368464,0.631536,client0.log,0.3514,0.4131,0.3262,0.3831
2850,1,0.367543,0.632457,client1.log,0.3842,0.3824,0.3474,0.3562
2850,2,0.368908,0.631092,client2.log,0.3305,0.4006,0.3428,0.4016
2850,3,0.370444,0.629556,client3.log,0.3639,0.4432,0.3134,0.3613
2850,4,0.368915,0.631085,client4.log,0.345,0.4095,0.3268,0.3943
2900,0,0.375291,0.624709,client0.log,0.4386,0.2818,0.4636,0.3172
2900,1,0.370191,0.629809,client1.log,0.394,0.3054,0.4349,0.3465
2900,2,0.369381,0.630619,client2.log,0.3236,0.3905,0.3453,0.4181
2900,3,0.368573,0.631427,client3.log,0.3489,0.3941,0.3361,0.3952
2900,4,0.36795,0.63205,client4.log,0.3664,0.404,0.3489,0.3525
2950,0,0.370478,0.629522,client0.log,0.3218,0.4239,0.3181,0.4182
2950,1,0.367407,0.632593,client1.log,0.3784,0.3395,0.3916,0.36
2950,2,0.373399,0.626601,client2.log,0.3354,0.4604,0.2907,0.407
2950,3,0.371384,0.628616,client3.log,0.3018,0.3946,0.3459,0.4432
2950,4,0.367575,0.632425,client4.log,0.3728,0.3491,0.39,0.3583
3000,0,0.367623,0.632377,client0.log,0.3379,0.3814,0.3591,0.3921
3000,1,0.370573,0.629427,client1.log,0.3095,0.4187,0.3254,0.4287
3000,2,0.375955,0.624045,client2.log,0.3051,0.4546,0.2899,0.4542
3000,3,0.394412,0.605588,client3.log,0.5429,0.2605,0.5317,0.2425
3000,4,0.368673,0.631327,client4.log,0.3433,0.3952,0.3332,0.403
3050,0,0.3673,0.6327,client0.log,0.3537,0.3694,0.3616,0.3845
3050,1,0.371352,0.628648,client1.log,0.3035,0.4184,0.329,0.4345
3050,2,0.371595,0.628405,client2.log,0.3355,0.4403,0.3047,0.4059
3050,3,0.368038,0.631962,client3.log,0.3885,0.3516,0.3813,0.3507
3050,4,0.368014,0.631986,client4.log,0.3563,0.3963,0.3389,0.3806
3100,0,0.369024,0.630976,client0.log,0.3917,0.3122,0.4234,0.3488
3100,1,0.370997,0.629003,client1.log,0.31,0.4281,0.3263,0.4196
3100,2,0.380028,0.619972,client2.log,0.2819,0.4757,0.2853,0.4771
3100,3,0.372137,0.627863,client3.log,0.312,0.4145,0.3164,0.4456
3100,4,0.368516,0.631484,client4.log,0.3283,0.3725,0.3637,0.4096
3150,0,0.371799,0.628201,client0.log,0.4089,0.3005,0.4504,0.3274
3150,1,0.385779,0.614221,client1.log,0.272,0.5086,0.2628,0.4998
3150,2,0.367681,0.632319,client2.log,0.3635,0.3587,0.3813,0.3672
3150,3,0.368834,0.631166,client3.log,0.4041,0.3878,0.3562,0.3274
3150,4,0.372976,0.627024,client4.log,0.3205,0.4585,0.3002,0.4128
3200,0,0.370898,0.629102,client0.log,0.3876,0.3126,0.4542,0.3291
3200,1,0.367394,0.632606,client1.log,0.3986,0.3625,0.3548,0.3536
3200,2,0.3681,0.6319,client2.log,0.3475,0.3859,0.3476,0.3914
3200,3,0.393931,0.606069,client3.log,0.5499,0.2644,0.5197,0.2417
3200,4,0.369946,0.630054,client4.log,0.4127,0.3192,0.4218,0.3261
3250,0,0.368795,0.631205,client0.log,0.3388,0.4097,0.3293,0.3974
3250,1,0.368603,0.631397,client1.log,0.4006,0.3463,0.3966,0.3309
3250,2,0.367641,0.632359,client2.log,0.3604,0.3817,0.3574,0.3711
3250,3,0.377642,0.622358,client3.log,0.4807,0.2971,0.4464,0.2864
3250,4,0.380801,0.619199,client4.log,0.3006,0.4747,0.2633,0.4846
3300,0,0.394436,0.605564,client0.log,0.5185,0.2283,0.5541,0.2768
3300,1,0.373844,0.626156,client1.log,0.4305,0.3536,0.4391,0.2722
3300,2,0.368348,0.631652,client2.log,0.337,0.3814,0.3567,0.3983
3300,3,0.369443,0.630557,client3.log,0.4199,0.3358,0.3898,0.3323
3300,4,0.367227,0.632773,client4.log,0.366,0.3588,0.3794,0.3648
3350,0,0.372286,0.627714,client0.log,0.298,0.4168,0.3258,0.4486
3350,1,0.369444,0.630556,client1.log,0.4143,0.3265,0.4036,0.3333
3350,2,0.368888,0.631112,client2.log,0.3401,0.4026,0.3376,0.3953
3350,3,0.367735,0.632265,client3.log,0.3535,0.3815,0.3663,0.3696
3350,4,0.369728,0.630272,client4.log,0.3245,0.404,0.3322,0.4182
3400,0,0.37095,0.62905,client0.log,0.3158,0.4208,0.3187,0.4285
3400,1,0.369943,0.630057,client1.log,0.4116,0.3187,0.4155,0.3341
3400,2,0.370094,0.629906,client2.log,0.3314,0.4077,0.3239,0.4174
3400,3,0.368202,0.631798,client3.log,0.399,0.3524,0.3739,0.3476
3400,4,0.368696,0.631304,client4.log,0.3263,0.3907,0.3503,0.4075
3450,0,0.368451,0.631549,client0.log,0.3215,0.3961,0.3509,0.4053
3450,1,0.373583,0.626417,client1.log,0.4652,0.2998,0.4139,0.3154
3450,2,0.369826,0.630174,client2.log,0.3186,0.41,0.3428,0.4079
3450,3,0.368046,0.631954,client3.log,0.3708,0.3395,0.3886,0.3733
3450,4,0.376273,0.623727,client4.log,0.4668,0.2966,0.4502,0.2915
3500,0,0.369465,0.630535,client0.log,0.4028,0.3219,0.4194,0.3337
3500,1,0.367692,0.632308,client1.log,0.368,0.3464,0.394,0.3623
3500,2,0.369032,0.630968,client2.log,0.407,0.3497,0.392,0.3274
3500,3,0.369404,0.630596,client3.log,0.4059,0.3827,0.3777,0.3113
3500,4,0.373312,0.626688,client4.log,0.4551,0.3154,0.4228,0.2999
3550,0,0.367156,0.632844,client0.log,0.3602,0.3633,0.3745,0.3706
3550,1,0.378461,0.621539,client1.log,0.4613,0.2893,0.4772,0.286
3550,2,0.368271,0.631729,client2.log,0.3706,0.3392,0.3978,0.3654
